full_name,language,stars,forks,contributors,commits,engagement_rate,issue_resolution_rate,commits_per_contributor,engagement_per_star,popularity_vs_activity,commits_per_day,issues_per_day
apache/airflow,Python,42773,15767,3927,33380,1.3686203913683865,0.8724130088696839,8.500127323656736,0.09181025413227971,10.892029539088362,8.70177267987487,3.4387382690302397
tw93/Pake,Rust,42704,8092,52,1706,1.1894904458598725,0.9976470588235294,32.80769230769231,0.0012176845260397152,821.2307692307693,1.5579908675799086,0.3881278538812785
bevyengine/bevy,Rust,42678,4180,1408,9978,1.0979427339612915,0.6199950568462679,7.0866477272727275,0.03299123670275083,30.311079545454547,4.762768496420048,3.862529832935561
Unitech/pm2,JavaScript,42587,2661,330,5152,1.0624838565759505,0.793136874757658,15.612121212121211,0.007748843543804448,129.05151515151516,1.137809187279152,1.1391342756183747
faif/python-patterns,Python,42260,7047,136,879,1.1667534311405585,0.8217821782178217,6.463235294117647,0.003218173213440606,310.7352941176471,0.18023375025630511,0.020709452532294444
iina/iina,Swift,42238,2697,153,3838,1.0638524551351862,0.5738386873122255,25.084967320261438,0.0036223306027747524,276.06535947712416,1.1919254658385092,1.3437888198757764
getsentry/sentry,Python,42201,4474,978,92865,1.1060164451079357,0.8603304273608486,94.95398773006134,0.023174806284211275,43.15030674846626,16.814231395980446,2.9699438710845554
Alamofire/Alamofire,Swift,42156,7641,282,1663,1.1812553373185313,0.9850746268656716,5.897163120567376,0.0066894392257329915,149.48936170212767,0.40640273704789837,0.6876832844574781
spf13/cobra,Go,42139,3011,320,1093,1.0714539974845156,0.7471612414837244,3.415625,0.007593915375305536,131.684375,0.2471173411711508,0.29866606375763055
AykutSarac/jsoncrack.com,TypeScript,42060,3009,38,1785,1.0715406562054208,0.841726618705036,46.973684210526315,0.000903471231573942,1106.842105263158,1.3202662721893492,0.20562130177514792
Kong/kong,Lua,41949,5000,442,11245,1.119192352618656,0.9700882289649236,25.441176470588236,0.01053660397148919,94.90723981900453,2.8239578101456555,1.1670015067805124
Stability-AI/stablediffusion,Python,41853,5332,19,88,1.1273982749145819,0.20212765957446807,4.631578947368421,0.00045396984684490955,2202.7894736842104,0.08349146110056926,0.3567362428842505
SimplifyJobs/Summer2026-Internships,,41841,3081,883,28513,1.0736359073635908,0.999496559825474,32.29105322763307,0.02110370211037021,47.3850509626274,14.480954799390554,3.026409344845099
KRTirtho/spotube,Dart,41783,1803,89,2095,1.0431515209534978,0.6627249357326478,23.53932584269663,0.0021300528923246295,469.4719101123595,1.2309048178613395,1.1427732079905992
streamlit/streamlit,Python,41778,3792,299,8389,1.0907654746517306,0.768422895151409,28.05685618729097,0.0071568768251232704,139.7257525083612,3.7417484388938447,2.548171275646744
mingrammer/diagrams,Python,41611,2684,172,642,1.064502174905674,0.3651315789473684,3.7325581395348837,0.004133522385907572,241.92441860465115,0.30865384615384617,0.2923076923076923
ziglang/zig,Zig,41600,3051,1303,35286,1.0733413461538461,0.7294507924806487,27.08058326937836,0.031322115384615386,31.92632386799693,9.48293469497447,3.6455253963988175
yarnpkg/yarn,JavaScript,41552,2730,536,2357,1.065700808625337,0.6952115158636898,4.397388059701493,0.012899499422410473,77.5223880597015,0.6630098452883263,1.9150492264416314
apache/dubbo,Java,41504,26534,666,8571,1.6393118735543561,0.8772119411049575,12.86936936936937,0.016046646106399384,62.31831831831832,1.7621299342105263,1.521998355263158
nolimits4web/swiper,JavaScript,41474,9730,353,3779,1.2346048126537108,0.9584052468070418,10.705382436260622,0.008511356512513864,117.4900849858357,0.7617415843579923,1.1679096956258819
docling-project/docling,Python,41411,2946,130,697,1.0711405182197966,0.5105421686746988,5.361538461538461,0.003139262514790756,318.54615384615386,1.5119305856832972,2.880694143167028
nwjs/nw.js,JavaScript,41356,3883,132,5588,1.0938920591933456,0.8730287100687424,42.333333333333336,0.0031917980462327113,313.3030303030303,1.110713575829855,1.4746571258199166
zhongyang219/TrafficMonitor,C++,41312,3511,44,1296,1.0849874128582495,0.3724066390041494,29.454545454545453,0.0010650658404337723,938.9090909090909,0.43243243243243246,0.64330997664331
mem0ai/mem0,Python,41209,4389,239,1821,1.1065058603703075,0.6824067022086824,7.619246861924686,0.005799703948166663,172.4225941422594,2.152482269503546,1.5520094562647755
hpcaitech/ColossalAI,Python,41202,4534,197,3961,1.110043201786321,0.731830985915493,20.106598984771573,0.004781321295082763,209.14720812182742,2.739280774550484,1.227524204702628
dcloudio/uni-app,JavaScript,41156,3709,54,10052,1.0901205170570512,0.858795372955724,186.14814814814815,0.0013120808630576344,762.1481481481482,3.7932075471698115,1.8920754716981132
ChrisTitusTech/winutil,PowerShell,41156,2207,104,968,1.0536252308290408,0.8781107160995429,9.307692307692308,0.0025269705510739624,395.7307692307692,0.7658227848101266,1.557753164556962
psf/black,Python,41041,2640,478,2039,1.0643259179844546,0.8706772334293948,4.2656903765690375,0.011646889695670183,85.85983263598327,0.736101083032491,1.0021660649819495
cli/cli,Go,41016,7238,620,10398,1.1764677199141798,0.8332710280373832,16.770967741935483,0.015116052272283987,66.15483870967742,4.722070844686648,2.42960944595822
styled-components/styled-components,TypeScript,40956,2519,379,3665,1.0615050297880653,0.8883674153536708,9.67018469656992,0.009253833382166227,108.06332453825857,1.0956651718983557,0.8917787742899851
hexojs/hexo,TypeScript,40900,5004,200,3708,1.1223471882640588,0.9748443337484434,18.54,0.004889975550122249,204.5,0.7776845637583892,0.8420721476510067
mitmproxy/mitmproxy,Python,40840,4327,578,11021,1.1059500489715965,0.8953616786305908,19.067474048442907,0.01415279138099902,70.65743944636678,1.9274221755858691,0.633438265127667
gedoor/legado,Kotlin,40779,4657,72,6436,1.1142009367566639,0.9716981132075472,89.38888888888889,0.0017656146546016333,566.375,2.7551369863013697,1.3159246575342465
vuetifyjs/vuetify,TypeScript,40755,7094,1131,17351,1.1740645319592689,0.9558784850078906,15.341290893015032,0.027751196172248804,36.03448275862069,5.229355033152501,4.583484026522001
penpot/penpot,Clojure,40675,2237,245,18932,1.05499692685925,0.7370558375634517,77.2734693877551,0.006023355869698832,166.0204081632653,5.295664335664336,0.551048951048951
fastlane/fastlane,Ruby,40567,5947,1608,16666,1.1465969876993616,0.9303901131625968,10.364427860696518,0.03963812951413711,25.22823383084577,4.200100806451613,3.3850806451612905
slidevjs/slidev,TypeScript,40506,1699,310,2822,1.0419444032982768,0.8573692551505546,9.103225806451613,0.007653187182145855,130.66451612903225,1.7281077770973667,0.7728107777097367
helix-editor/helix,Rust,40398,3083,1252,6936,1.076315659191049,0.7845341509112588,5.539936102236422,0.03099163324917075,32.266773162939295,3.5387755102040814,2.995408163265306
lukasz-madon/awesome-remote-job,,40376,4323,462,1138,1.1070685555775708,0.8333333333333334,2.463203463203463,0.01144244105409154,87.39393939393939,0.2890525781051562,0.02286004572009144
deepspeedai/DeepSpeed,Python,40374,4576,424,2956,1.113340268489622,0.6318796992481203,6.971698113207547,0.010501808094318126,95.22169811320755,1.414354066985646,1.5909090909090908
colinhacks/zod,TypeScript,40324,1632,444,2652,1.0404721753794266,0.9023047815617475,5.972972972972973,0.011010812419402837,90.81981981981981,1.2961876832844574,1.4208211143695015
chubin/cheat.sh,Python,40310,1878,65,922,1.0465889357479534,0.4889705882352941,14.184615384615384,0.0016125031009675019,620.1538461538462,0.29925348912690686,0.08828302499188576
upscayl/upscayl,TypeScript,40288,1883,49,1112,1.0467384829229547,0.9377551020408164,22.693877551020407,0.001216243050039714,822.204081632653,0.9496157130657558,0.8368915456874466
gradio-app/gradio,Python,40188,3099,454,8112,1.0771125709166915,0.9374691459601777,17.86784140969163,0.01129690454862148,88.51982378854626,3.257831325301205,2.4405622489959837
tabler/tabler,HTML,40185,4267,154,3052,1.1061838994649744,0.9010695187165776,19.818181818181817,0.0038322757247729253,260.9415584415584,1.0857346140163642,0.3991462113127001
sharkdp/fd,Rust,40034,932,206,1741,1.023280211819953,0.8364978902953587,8.451456310679612,0.005145626217714942,194.3398058252427,0.5654433257551152,0.3078921727833712
chakra-ui/chakra-ui,TypeScript,39804,3496,772,11171,1.0878303688071551,0.9969077069457659,14.470207253886011,0.019395035674806552,51.55958549222798,4.9670964873277015,1.8692752334370832
